적용범위,구분,메뉴명,제공량(g),열량(Kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),나트륨(mg)
SALADY & SANDWICH (대상매장),VEGGIES,적채,15,6.2,1.4,0.7,0.3,0.0,0.0,1.1
SALADY & SANDWICH (대상매장),VEGGIES,파인애플,30,22.8,5.7,5.1,0.0,0.0,0.0,0.6
SALADY & SANDWICH (대상매장),CRISPY,후리가케,3,12.5,1.6,0.1,0.5,0.5,0.1,69.0
SALADY & SANDWICH (대상매장),CRISPY,견과류,15,90.7,4.9,0.5,2.5,6.8,0.6,0.3
SALADY & SANDWICH (대상매장),CRISPY,나쵸칩,15,75.0,9.2,0.0,1.1,3.8,0.3,34.5
SALADY & SANDWICH (대상매장),CRISPY,양파플레이크,10,55.1,5.5,1.1,0.4,3.5,1.7,5.0
SALADY & SANDWICH (대상매장),CRISPY,크랜베리,10,31.4,8.6,7.4,0.0,0.1,0.0,0.2
SALADY & SANDWICH (대상매장),CRISPY,슈레드치즈,20,65.0,0.0,0.0,5.0,4.3,3.0,85.0
SALADY & SANDWICH (대상매장),CRISPY,몬테레이치즈,30,111.9,0.2,0.0,7.3,9.1,5.7,186.0
SALADY & SANDWICH (대상매장),CRISPY,김자반,3,17.3,1.1,0.4,0.6,1.2,0.1,33.0
SALADY & SANDWICH (대상매장),SAUCE & MOUSSE,에그마요,50,122.5,2.5,0.0,4.5,10.5,2.1,140.0
SALADY & SANDWICH (대상매장),SAUCE & MOUSSE,스윗포테이토,70,126.0,17.5,9.1,1.4,5.6,1.0,98.0
SALADY & SANDWICH (대상매장),SAUCE & MOUSSE,사워크림,10,23.2,0.5,0.3,0.3,2.2,1.4,4.0
SALADY & SANDWICH (대상매장),SAUCE & MOUSSE,바질페스토,20,119.0,0.5,1.8,2.8,10.7,2.0,171.0
SALADY & SANDWICH (대상매장),SAUCE & MOUSSE,바베큐소스,10,24.6,5.5,2.8,0.3,0.2,0.0,151.2
SALADY & SANDWICH (대상매장),SAUCE & MOUSSE,화이트치즈소스,20,72.0,4.6,3.6,0.4,5.8,1.6,98.0
